node_type,relation,filter,join_type,plan_rows,actual_rows,total_cost,actual_time,parent_node,query_name
Materialize,,,,2,1.98,1.03,0.0,Nested Loop,q83,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.005,Materialize,q83,2025-10-14 19:23:59.474656
Limit,,,,41,41.0,0.71,0.014,,q84,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,41.0,253.96,0.01,Limit,q84,2025-10-14 19:23:59.474656
Limit,,,,27,27.0,2.65,0.018,,q85,2025-10-14 19:23:59.474656
Seq Scan,film,(length IS NOT NULL),,1000,27.0,98.0,0.015,Limit,q85,2025-10-14 19:23:59.474656
Limit,,,,176,176.0,2.2,0.096,,q86,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,66864276,176.0,836139.67,0.082,Limit,q86,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,1.0,253.96,0.009,Nested Loop,q86,2025-10-14 19:23:59.474656
Materialize,,,,4581,176.0,93.72,0.042,Nested Loop,q86,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,176.0,70.81,0.015,Materialize,q86,2025-10-14 19:23:59.474656
Limit,,,,136,136.0,1.71,0.085,,q87,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,599000,136.0,7519.99,0.076,Limit,q87,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,1.0,16.0,0.012,Nested Loop,q87,2025-10-14 19:23:59.474656
Materialize,,,,599,136.0,17.98,0.035,Nested Loop,q87,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,136.0,14.99,0.015,Materialize,q87,2025-10-14 19:23:59.474656
Limit,,,,148,148.0,9.18,0.106,,q88,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,2000,148.0,124.03,0.095,Limit,q88,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,74.0,98.0,0.024,Nested Loop,q88,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q88,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.006,Materialize,q88,2025-10-14 19:23:59.474656
Limit,,,,136,136.0,1.7,0.061,,q89,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,8743004,136.0,109558.0,0.053,Limit,q89,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,1.0,253.96,0.006,Nested Loop,q89,2025-10-14 19:23:59.474656
Materialize,,,,599,136.0,17.98,0.027,Nested Loop,q89,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,136.0,14.99,0.012,Materialize,q89,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,0.28,0.011,,q90,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,16.0,253.96,0.009,Limit,q90,2025-10-14 19:23:59.474656
Limit,,,,200,200.0,2.68,0.097,,q91,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,109000,200.0,1462.86,0.081,Limit,q91,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,2.0,98.0,0.01,Nested Loop,q91,2025-10-14 19:23:59.474656
Materialize,,,,109,100.0,2.63,0.017,Nested Loop,q91,2025-10-14 19:23:59.474656
Seq Scan,country,,,109,109.0,2.09,0.013,Materialize,q91,2025-10-14 19:23:59.474656
Limit,,,,61,61.0,1.53,0.017,,q92,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,61.0,14.99,0.011,Limit,q92,2025-10-14 19:23:59.474656
Limit,,,,81,81.0,1.3,0.021,,q93,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,81.0,16.0,0.016,Limit,q93,2025-10-14 19:23:59.474656
Limit,,,,64,64.0,3.97,0.038,,q94,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,2000,64.0,124.03,0.034,Limit,q94,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,32.0,98.0,0.01,Nested Loop,q94,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q94,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.004,Materialize,q94,2025-10-14 19:23:59.474656
Limit,,,,15,15.0,1.47,0.011,,q95,2025-10-14 19:23:59.474656
Seq Scan,film,,,1000,15.0,98.0,0.01,Limit,q95,2025-10-14 19:23:59.474656
Limit,,,,32,32.0,2.58,0.023,,q96,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,32,32.0,2.58,0.021,Limit,q96,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.007,Nested Loop,q96,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q96,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.003,Materialize,q96,2025-10-14 19:23:59.474656
Limit,,,,82,82.0,2.05,0.022,,q97,2025-10-14 19:23:59.474656
Seq Scan,customer,,,599,82.0,14.99,0.016,Limit,q97,2025-10-14 19:23:59.474656
